/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Links
                        	Length          	Diameter        	Flow            	Velocity        	Unit Headloss   	Friction Factor 
 Link ID                	m               	mm              	LPS             	m/s             	m/km            	                
Pipe 0                  	457.01          	125.00          	-8.14           	0.66            	5.09            	0.028           
Pipe 1                  	36.1            	80.00           	2.67            	0.53            	5.66            	0.032           
Pipe 2                  	52.55           	60.00           	1.34            	0.47            	6.45            	0.034           
Pipe 3                  	31.24           	80.00           	2.84            	0.56            	6.36            	0.031           
Pipe 4                  	44.09           	60.00           	1.19            	0.42            	5.13            	0.034           
Pipe 5                  	712.14          	200.00          	19.14           	0.61            	2.51            	0.027           
Pipe 6                  	488.47          	250.00          	-35.31          	0.72            	2.63            	0.025           
Pipe 7                  	53.96           	60.00           	1.05            	0.37            	4.08            	0.035           
Pipe 8                  	271.32          	100.00          	4.62            	0.59            	5.29            	0.030           
Pipe 9                  	12.35           	80.00           	2.25            	0.45            	4.15            	0.032           
Pipe 10                 	494.36          	125.00          	8.47            	0.69            	5.48            	0.028           
Pipe 11                 	345.3           	100.00          	5.83            	0.74            	8.14            	0.029           
Pipe 12                 	138.34          	60.00           	1.69            	0.60            	9.90            	0.033           
Pipe 13                 	100.03          	60.00           	1.76            	0.62            	10.66           	0.032           
Pipe 14                 	251.04          	60.00           	1.28            	0.45            	5.90            	0.034           
Pipe 15                 	524.04          	250.00          	-40.59          	0.83            	3.41            	0.024           
Pipe 16                 	128.47          	60.00           	1.23            	0.44            	5.53            	0.034           
Pipe 17                 	26.34           	60.00           	1.38            	0.49            	6.77            	0.034           
Pipe 18                 	10.66           	80.00           	2.56            	0.51            	5.25            	0.032           
Pipe 19                 	491.41          	60.00           	1.10            	0.39            	4.46            	0.035           
Pipe 20                 	47.5            	80.00           	2.21            	0.44            	4.00            	0.033           
Pipe 21                 	49.55           	80.00           	2.06            	0.41            	3.52            	0.033           
Pipe 22                 	36.48           	60.00           	1.53            	0.54            	8.18            	0.033           
Pipe 23                 	28.08           	60.00           	1.46            	0.52            	7.59            	0.033           
Pipe 24                 	53.27           	80.00           	2.36            	0.47            	4.53            	0.032           
Pipe 25                 	21.63           	80.00           	3.36            	0.67            	8.68            	0.031           
Pipe 26                 	946.56          	250.00          	-47.30          	0.96            	4.53            	0.024           
Pipe 27                 	54.65           	100.00          	4.24            	0.54            	4.50            	0.030           
Pipe 28                 	237.47          	80.00           	2.36            	0.47            	4.54            	0.032           
Pipe 29                 	28.12           	60.00           	0.99            	0.35            	3.67            	0.035           
Pipe 30                 	199.77          	60.00           	0.66            	0.23            	1.73            	0.037           
Pipe 31                 	58.0            	60.00           	-0.29           	0.10            	0.38            	0.042           
Pipe 32                 	112.62          	60.00           	-0.48           	0.17            	0.96            	0.039           
Pipe 33                 	183.98          	60.00           	0.55            	0.19            	1.24            	0.038           
Pipe 34                 	89.18           	60.00           	-0.40           	0.14            	0.68            	0.040           
Pipe 35                 	41.19           	60.00           	-0.70           	0.25            	1.94            	0.037           
Pipe 36                 	70.87           	60.00           	0.11            	0.04            	0.06            	0.049           
Pipe 37                 	175.26          	60.00           	0.44            	0.16            	0.82            	0.040           
Pipe 38                 	66.85           	60.00           	-0.51           	0.18            	1.07            	0.039           
Pipe 39                 	135.49          	60.00           	0.04            	0.02            	0.01            	0.056           
Pipe 40                 	29.33           	60.00           	-0.85           	0.30            	2.80            	0.036           
Pipe 41                 	12.19           	60.00           	-0.22           	0.08            	0.23            	0.044           
Pipe 42                 	21.66           	60.00           	0.11            	0.04            	0.06            	0.049           
Pipe 43                 	60.4            	60.00           	-0.33           	0.12            	0.48            	0.042           
Pipe 44                 	28.62           	60.00           	0.22            	0.08            	0.23            	0.044           
Pipe 45                 	32.3            	60.00           	-0.66           	0.23            	1.75            	0.037           
Pipe 46                 	49.66           	60.00           	0.45            	0.16            	0.84            	0.040           
