/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Links
                        	Length          	Diameter        	Flow            	Velocity        	Unit Headloss   	Friction Factor 
 Link ID                	m               	mm              	LPS             	m/s             	m/km            	                
Pipe 0                  	440.64          	125.00          	10.68           	0.87            	8.42            	0.027           
Pipe 1                  	851.43          	200.00          	-25.50          	0.81            	4.27            	0.025           
Pipe 2                  	587.54          	60.00           	1.31            	0.46            	6.15            	0.034           
Pipe 3                  	62.54           	80.00           	3.11            	0.62            	7.53            	0.031           
Pipe 4                  	8.45            	100.00          	4.87            	0.62            	5.83            	0.030           
Pipe 5                  	29.12           	100.00          	5.29            	0.67            	6.78            	0.029           
Pipe 6                  	160.9           	80.00           	2.15            	0.43            	3.80            	0.033           
Pipe 7                  	41.38           	80.00           	2.21            	0.44            	4.01            	0.033           
Pipe 8                  	25.62           	100.00          	6.16            	0.78            	9.02            	0.029           
Pipe 9                  	719.47          	200.00          	22.34           	0.71            	3.35            	0.026           
Pipe 10                 	841.45          	250.00          	-51.91          	1.06            	5.38            	0.024           
Pipe 11                 	155.23          	60.00           	1.65            	0.58            	9.47            	0.033           
Pipe 12                 	48.34           	80.00           	2.08            	0.41            	3.57            	0.033           
Pipe 13                 	551.08          	80.00           	-2.47           	0.49            	4.90            	0.032           
Pipe 14                 	174.51          	60.00           	0.93            	0.33            	3.30            	0.036           
Pipe 15                 	179.56          	60.00           	0.80            	0.28            	2.46            	0.036           
Pipe 16                 	110.19          	60.00           	1.82            	0.65            	11.39           	0.032           
Pipe 17                 	320.72          	150.00          	15.22           	0.86            	6.68            	0.026           
Pipe 18                 	35.76           	60.00           	1.26            	0.44            	5.71            	0.034           
Pipe 19                 	56.69           	80.00           	3.25            	0.65            	8.19            	0.031           
Pipe 20                 	101.54          	80.00           	2.42            	0.48            	4.72            	0.032           
Pipe 21                 	334.87          	125.00          	8.10            	0.66            	5.05            	0.028           
Pipe 22                 	32.69           	80.00           	2.05            	0.41            	3.49            	0.033           
Pipe 23                 	20.31           	80.00           	2.41            	0.48            	4.69            	0.032           
Pipe 24                 	48.77           	80.00           	2.78            	0.55            	6.12            	0.031           
Pipe 25                 	10.95           	100.00          	5.19            	0.66            	6.56            	0.029           
Pipe 26                 	104.26          	60.00           	0.21            	0.07            	0.20            	0.044           
Pipe 27                 	99.57           	60.00           	-0.33           	0.12            	0.48            	0.041           
Pipe 28                 	68.24           	60.00           	0.08            	0.03            	0.04            	0.051           
Pipe 29                 	65.72           	60.00           	-0.28           	0.10            	0.36            	0.042           
Pipe 30                 	56.1            	60.00           	-0.17           	0.06            	0.15            	0.046           
Pipe 31                 	45.13           	60.00           	0.61            	0.21            	1.48            	0.038           
Pipe 32                 	56.23           	60.00           	-0.64           	0.23            	1.65            	0.038           
Pipe 33                 	35.34           	60.00           	-0.40           	0.14            	0.68            	0.040           
Pipe 34                 	34.84           	60.00           	-0.29           	0.10            	0.38            	0.042           
Pipe 35                 	45.18           	60.00           	-0.84           	0.30            	2.72            	0.036           
Pipe 36                 	46.89           	60.00           	0.73            	0.26            	2.07            	0.037           
Pipe 37                 	29.29           	60.00           	-0.15           	0.05            	0.11            	0.047           
Pipe 38                 	32.1            	60.00           	-0.81           	0.29            	2.51            	0.036           
Pipe 39                 	153.02          	60.00           	0.60            	0.21            	1.46            	0.038           
Pipe 40                 	23.82           	60.00           	-0.27           	0.09            	0.32            	0.043           
Pipe 41                 	10.07           	60.00           	-0.76           	0.27            	2.26            	0.037           
Pipe 42                 	26.79           	60.00           	-0.16           	0.06            	0.12            	0.046           
Pipe 43                 	74.74           	60.00           	0.25            	0.09            	0.28            	0.043           
Pipe 44                 	33.46           	60.00           	0.23            	0.08            	0.24            	0.044           
Pipe 45                 	26.28           	60.00           	0.99            	0.35            	3.66            	0.035           
Pipe 46                 	34.72           	60.00           	-1.10           	0.39            	4.48            	0.035           
Pipe 47                 	28.4            	60.00           	0.87            	0.31            	2.92            	0.036           
Pipe 48                 	68.1            	60.00           	-0.42           	0.15            	0.76            	0.040           
Pipe 49                 	35.24           	60.00           	-1.60           	0.57            	8.96            	0.033           
Pipe 50                 	36.22           	60.00           	0.80            	0.28            	2.48            	0.036           
Pipe 51                 	35.68           	60.00           	-1.88           	0.66            	12.03           	0.032           
Pipe 52                 	34.91           	60.00           	1.02            	0.36            	3.88            	0.035           
Pipe 53                 	89.11           	60.00           	0.31            	0.11            	0.43            	0.042           
Pipe 54                 	35.04           	60.00           	-0.93           	0.33            	3.27            	0.036           
Pipe 55                 	68.03           	60.00           	-0.79           	0.28            	2.43            	0.036           
Pipe 56                 	68.58           	60.00           	-0.13           	0.05            	0.08            	0.048           
