/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Nodes
                        	Elevation       	Head            	Pressure        
 Node ID                	m               	m               	m               
Junc 0                  	76              	157.16          	81.16           
Junc 1                  	51              	154.13          	103.13          
Junc 2                  	105.5           	160.21          	54.71           
Junc 3                  	50              	154.29          	104.29          
Junc 4                  	92.5            	158.17          	65.67           
Junc 6                  	77              	156.38          	79.38           
Junc 7                  	58.5            	154.93          	96.43           
Junc 8                  	85.11           	156.09          	70.98           
Junc 9                  	90.55           	156.07          	65.52           
Junc 10                 	76.44           	156.13          	79.69           
Junc 11                 	85.19           	156.07          	70.88           
Junc 12                 	75.53           	156.15          	80.62           
Junc 13                 	78.85           	156.14          	77.29           
Junc 14                 	96.31           	155.89          	59.58           
Junc 15                 	89.56           	155.99          	66.43           
Junc 16                 	98.27           	155.81          	57.54           
Junc 17                 	90.52           	155.99          	65.47           
Junc 18                 	87.74           	156.06          	68.32           
Junc 19                 	105.83          	155.62          	49.79           
Junc 20                 	81.61           	156.24          	74.63           
Junc 21                 	83.36           	156.15          	72.79           
Junc 22                 	79.56           	156.37          	76.81           
Junc 23                 	86.89           	156.08          	69.19           
Junc 24                 	74.28           	156.42          	82.14           
Junc 25                 	79.61           	156.65          	77.04           
Junc 26                 	80.28           	156.30          	76.02           
Junc 27                 	81.53           	156.49          	74.96           
Junc 28                 	81.82           	156.12          	74.30           
Junc 29                 	81.41           	156.75          	75.34           
Junc 30                 	87.64           	156.23          	68.59           
Junc 31                 	77.93           	156.72          	78.79           
Junc 32                 	80.5            	156.03          	75.53           
Junc 33                 	83.82           	156.26          	72.44           
Junc 34                 	80.43           	156.75          	76.32           
Junc 35                 	86.89           	156.11          	69.22           
Junc 36                 	76.17           	156.85          	80.68           
Junc 37                 	76.73           	157.12          	80.39           
Junc 38                 	70.47           	156.71          	86.24           
Junc 39                 	71.11           	156.87          	85.76           
Junc 40                 	70.78           	156.33          	85.55           
Junc 41                 	71.15           	156.77          	85.62           
Junc 42                 	66.58           	156.11          	89.53           
Junc 43                 	71.04           	156.11          	85.07           
Junc 44                 	75.39           	156.03          	80.64           
Junc 45                 	70.24           	156.06          	85.82           
Junc 46                 	126.06          	155.14          	29.08           
Junc 47                 	125.84          	155.16          	29.32           
Junc 48                 	123.17          	155.13          	31.96           
Junc 49                 	124.3           	155.19          	30.89           
Junc 50                 	123.63          	155.12          	31.49           
Junc 51                 	123.3           	155.23          	31.93           
Junc 52                 	121.53          	155.30          	33.77           
Junc 53                 	119.77          	155.44          	35.67           
Junc 54                 	117.96          	155.48          	37.52           
Junc 55                 	94.12           	155.55          	61.43           
Junc 56                 	110.47          	155.57          	45.10           
Junc 57                 	93.73           	155.58          	61.85           
Junc 58                 	87.98           	155.57          	67.59           
Junc 59                 	93.73           	155.57          	61.84           
Junc 60                 	94.38           	155.55          	61.17           
Junc 61                 	109.74          	155.60          	45.86           
Junc 62                 	90.09           	155.65          	65.56           
Junc 63                 	108.75          	155.60          	46.85           
Junc 64                 	97.53           	155.90          	58.37           
Junc 65                 	113.34          	155.60          	42.26           
Junc 66                 	108.02          	155.60          	47.58           
Junc 67                 	88.56           	156.05          	67.49           
Junc 68                 	105.19          	155.61          	50.42           
Junc 69                 	104.53          	155.61          	51.08           
Junc 70                 	88.89           	156.04          	67.15           
Junc 71                 	85.27           	155.95          	70.68           
Junc 72                 	87.44           	156.08          	68.64           
Junc 73                 	90.66           	155.72          	65.06           
Junc 74                 	83.53           	155.97          	72.44           
Junc 75                 	88.79           	156.07          	67.28           
Junc 76                 	87.36           	156.09          	68.73           
Junc 77                 	86.2            	156.12          	69.92           
Junc 78                 	88.89           	156.07          	67.18           
Junc 79                 	89.14           	156.06          	66.92           
Junc 80                 	87.83           	156.01          	68.18           
Junc 81                 	90.85           	156.01          	65.16           
Junc 82                 	89.52           	156.00          	66.48           
Junc 83                 	79.73           	156.15          	76.42           
Junc 84                 	81.33           	155.99          	74.66           
Junc 85                 	74.61           	156.01          	81.40           
Junc 86                 	73.48           	155.98          	82.50           
Junc 87                 	75.87           	156.99          	81.12           
Junc 88                 	70.62           	156.64          	86.02           
Junc 89                 	74.84           	156.79          	81.95           
Junc 90                 	70.1            	156.43          	86.33           
Junc 91                 	73.65           	156.30          	82.65           
Junc 92                 	69.64           	156.38          	86.74           
Junc 93                 	74.01           	156.22          	82.21           
Junc 94                 	69.89           	156.30          	86.41           
Junc 95                 	74.89           	156.17          	81.28           
Junc 96                 	79.62           	156.22          	76.60           
Junc 97                 	70.9            	156.25          	85.35           
Junc 98                 	71.86           	156.18          	84.32           
Junc 99                 	69.79           	156.17          	86.38           
Junc 100                	88.96           	155.58          	66.62           
Junc 101                	79.14           	155.86          	76.72           
Junc 102                	80.43           	155.95          	75.52           
Junc 103                	64.8            	155.69          	90.89           
Junc 104                	61.53           	155.08          	93.55           
Junc 105                	61.13           	154.99          	93.86           
Junc 106                	61.44           	155.04          	93.60           
Junc 107                	69.93           	156.16          	86.23           
Junc 108                	60.41           	154.98          	94.57           
Junc 109                	57.17           	154.97          	97.80           
Junc 110                	57.91           	154.98          	97.07           
Junc 111                	57.92           	154.97          	97.05           
Junc 112                	54.92           	154.97          	100.05          
Junc 113                	60.62           	155.00          	94.38           
Junc 114                	58.65           	154.98          	96.33           
Junc 115                	55.76           	154.96          	99.20           
Junc 116                	54.5            	154.96          	100.46          
Junc 117                	56.66           	154.96          	98.30           
Junc 118                	55.46           	154.96          	99.50           
Junc 119                	56.02           	154.97          	98.95           
Junc 120                	55.44           	154.00          	98.56           
