/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Links
                        	Length          	Diameter        	Flow            	Velocity        	Unit Headloss   	Friction Factor 
 Link ID                	m               	mm              	LPS             	m/s             	m/km            	                
Pipe 0                  	457.01          	500             	-8.14           	0.04            	0.01            	0.030           
Pipe 1                  	36.1            	100             	2.56            	0.33            	2.07            	0.038           
Pipe 2                  	52.55           	100             	1.88            	0.24            	1.11            	0.038           
Pipe 3                  	31.24           	100             	2.02            	0.26            	1.36            	0.040           
Pipe 4                  	44.09           	100             	1.57            	0.20            	0.81            	0.040           
Pipe 5                  	712.14          	500             	19.14           	0.10            	0.03            	0.026           
Pipe 6                  	488.47          	500             	-35.31          	0.18            	0.08            	0.025           
Pipe 7                  	53.96           	100             	1.33            	0.17            	0.58            	0.040           
Pipe 8                  	271.32          	100             	4.62            	0.59            	5.42            	0.031           
Pipe 9                  	12.35           	100             	1.97            	0.25            	1.61            	0.050           
Pipe 10                 	494.36          	500             	8.47            	0.04            	0.01            	0.030           
Pipe 11                 	345.3           	500             	5.83            	0.03            	0.00            	0.032           
Pipe 12                 	138.34          	100             	1.69            	0.21            	0.85            	0.036           
Pipe 13                 	100.03          	100             	1.76            	0.22            	0.94            	0.037           
Pipe 14                 	251.04          	100             	1.28            	0.16            	0.50            	0.037           
Pipe 15                 	524.04          	500             	-40.59          	0.21            	0.10            	0.024           
Pipe 16                 	128.47          	100             	1.54            	0.20            	0.72            	0.037           
Pipe 17                 	26.34           	100             	1.64            	0.21            	0.95            	0.043           
Pipe 18                 	10.66           	100             	1.99            	0.25            	1.72            	0.053           
Pipe 19                 	491.41          	500             	1.10            	0.01            	0.00            	0.047           
Pipe 20                 	47.5            	100             	2.01            	0.26            	1.27            	0.038           
Pipe 21                 	49.55           	100             	1.91            	0.24            	1.15            	0.038           
Pipe 22                 	36.48           	100             	1.70            	0.22            	0.96            	0.040           
Pipe 23                 	28.08           	100             	1.64            	0.21            	0.94            	0.042           
Pipe 24                 	53.27           	100             	2.35            	0.30            	1.68            	0.037           
Pipe 25                 	21.63           	100             	3.37            	0.43            	3.82            	0.041           
Pipe 26                 	946.56          	500             	-47.30          	0.24            	0.14            	0.023           
Pipe 27                 	54.65           	100             	4.27            	0.54            	5.11            	0.034           
Pipe 28                 	237.47          	100             	2.33            	0.30            	1.53            	0.034           
Pipe 29                 	28.12           	100             	0.99            	0.13            	0.36            	0.045           
Pipe 30                 	199.77          	100             	0.66            	0.08            	0.15            	0.041           
Pipe 31                 	58.0            	100             	-0.28           	0.04            	0.03            	0.049           
Pipe 32                 	112.62          	100             	-0.49           	0.06            	0.09            	0.044           
Pipe 33                 	183.98          	100             	0.55            	0.07            	0.11            	0.042           
Pipe 34                 	89.18           	100             	-0.39           	0.05            	0.06            	0.046           
Pipe 35                 	41.19           	100             	-0.71           	0.09            	0.19            	0.044           
Pipe 36                 	70.87           	100             	0.11            	0.01            	0.01            	0.055           
Pipe 37                 	175.26          	100             	0.44            	0.06            	0.07            	0.044           
Pipe 38                 	66.85           	100             	-0.50           	0.06            	0.09            	0.045           
Pipe 39                 	135.49          	100             	0.16            	0.02            	0.01            	0.051           
Pipe 40                 	29.33           	100             	-0.98           	0.12            	0.35            	0.045           
Pipe 41                 	12.19           	100             	-0.22           	0.03            	0.03            	0.065           
Pipe 42                 	21.66           	100             	0.11            	0.01            	0.01            	0.060           
Pipe 43                 	60.4            	100             	-0.33           	0.04            	0.04            	0.048           
Pipe 44                 	28.62           	100             	0.17            	0.02            	0.01            	0.057           
Pipe 45                 	32.3            	100             	-0.61           	0.08            	0.14            	0.047           
Pipe 46                 	49.66           	100             	0.41            	0.05            	0.06            	0.047           
Pipe 47                 	34.23           	100             	-0.61           	0.08            	0.14            	0.046           
Pipe 48                 	85.17           	100             	0.26            	0.03            	0.03            	0.048           
