/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Nodes
                        	Elevation       	Head            	Pressure        
 Node ID                	m               	m               	m               
Junc 0                  	58.46           	164.27          	105.81          
Junc 1                  	72.36           	164.28          	91.92           
Junc 2                  	44.72           	164.26          	119.54          
Junc 3                  	90.04           	164.32          	74.28           
Junc 4                  	83.82           	164.26          	80.44           
Junc 5                  	33.6            	164.26          	130.66          
Junc 6                  	109.46          	164.37          	54.91           
Junc 7                  	124.3           	164.26          	39.96           
Junc 9                  	60.34           	164.10          	103.76          
Junc 10                 	61.39           	164.07          	102.68          
Junc 11                 	58.77           	164.10          	105.33          
Junc 12                 	59.63           	164.11          	104.48          
Junc 13                 	62.75           	164.05          	101.30          
Junc 14                 	56.3            	164.11          	107.81          
Junc 15                 	60.05           	164.12          	104.07          
Junc 16                 	64.36           	164.11          	99.75           
Junc 17                 	55.44           	164.12          	108.68          
Junc 18                 	55.68           	164.12          	108.44          
Junc 19                 	53.91           	164.12          	110.21          
Junc 20                 	54.76           	164.12          	109.36          
Junc 21                 	55.06           	164.12          	109.06          
Junc 22                 	55.04           	164.13          	109.09          
Junc 23                 	60.62           	164.04          	103.42          
Junc 24                 	61.44           	164.04          	102.60          
Junc 25                 	54.17           	164.12          	109.95          
Junc 26                 	61.71           	164.14          	102.43          
Junc 27                 	59.39           	164.20          	104.81          
Junc 28                 	65.27           	164.12          	98.85           
Junc 29                 	62.26           	164.13          	101.87          
Junc 30                 	60.54           	164.17          	103.63          
Junc 31                 	66.19           	164.12          	97.93           
Junc 32                 	64.79           	164.12          	99.33           
Junc 33                 	66.56           	164.12          	97.56           
Junc 34                 	59.69           	164.13          	104.44          
Junc 35                 	62.11           	164.13          	102.02          
Junc 36                 	61.13           	164.04          	102.91          
Junc 37                 	61.53           	164.04          	102.51          
Junc 38                 	53.58           	164.12          	110.54          
Junc 39                 	55.37           	164.13          	108.76          
Junc 40                 	56.27           	164.12          	107.85          
Junc 41                 	55.65           	164.14          	108.49          
Junc 42                 	55.17           	164.14          	108.97          
Junc 43                 	55.71           	164.14          	108.43          
Junc 44                 	56.11           	164.15          	108.04          
Junc 45                 	56.58           	164.15          	107.57          
Junc 46                 	57.85           	164.22          	106.37          
Junc 47                 	56.98           	164.14          	107.16          
Junc 48                 	56.42           	164.14          	107.72          
Junc 49                 	58.46           	164.23          	105.77          
Junc 50                 	59.67           	164.13          	104.46          
Junc 51                 	55.61           	164.14          	108.53          
Junc 52                 	59.31           	164.13          	104.82          
Junc 53                 	60.52           	164.17          	103.65          
Junc 54                 	63.03           	164.15          	101.12          
Junc 55                 	58.92           	164.24          	105.32          
Junc 56                 	60.49           	164.15          	103.66          
Junc 57                 	60.15           	164.13          	103.98          
Junc 58                 	66.22           	164.15          	97.93           
Junc 59                 	66.26           	164.13          	97.87           
Junc 60                 	66.7            	164.12          	97.42           
Junc 61                 	67.83           	164.12          	96.29           
Junc 62                 	67.49           	164.11          	96.62           
Junc 63                 	64.81           	164.11          	99.30           
Junc 64                 	63.19           	164.11          	100.92          
Junc 65                 	64.61           	164.11          	99.50           
Junc 66                 	67.77           	164.10          	96.33           
Junc 67                 	65.95           	164.10          	98.15           
Junc 68                 	68.15           	164.10          	95.95           
Junc 69                 	64.76           	164.10          	99.34           
Junc 70                 	66.42           	164.10          	97.68           
Junc 71                 	59.31           	164.13          	104.82          
Junc 72                 	62.08           	164.12          	102.04          
Junc 73                 	61.5            	164.12          	102.62          
Junc 74                 	63.18           	164.12          	100.94          
Junc 75                 	63.09           	164.12          	101.03          
Junc 76                 	62.6            	164.12          	101.52          
Junc 77                 	60.77           	164.12          	103.35          
Junc 78                 	62.56           	164.12          	101.56          
Junc 79                 	64.92           	164.10          	99.18           
Junc 80                 	65.93           	164.10          	98.17           
Junc 81                 	65.99           	164.10          	98.11           
Junc 82                 	74.02           	163.96          	89.94           
Junc 83                 	71.72           	163.98          	92.26           
Junc 84                 	73.3            	163.95          	90.65           
Junc 85                 	68.5            	164.02          	95.52           
Junc 86                 	70.05           	163.94          	93.89           
Junc 87                 	66.58           	162.22          	95.64           
Junc 88                 	71.04           	162.23          	91.19           
Junc 89                 	70.24           	162.20          	91.96           
Junc 90                 	70.78           	162.26          	91.48           
Junc 91                 	71.91           	164.02          	92.11           
Junc 92                 	67.59           	164.02          	96.43           
Junc 93                 	71.44           	163.94          	92.50           
Junc 94                 	68.57           	163.94          	95.37           
Junc 95                 	74.84           	162.48          	87.64           
Junc 96                 	74.28           	162.49          	88.21           
Junc 97                 	70.62           	162.46          	91.84           
Junc 98                 	73.65           	162.50          	88.85           
Junc 99                 	69.64           	162.50          	92.86           
Junc 100                	71.11           	162.41          	91.30           
Junc 101                	70.1            	162.50          	92.40           
Junc 102                	74.01           	162.51          	88.50           
Junc 103                	69.89           	162.50          	92.61           
Junc 104                	74.89           	162.52          	87.63           
Junc 105                	70.9            	162.52          	91.62           
Junc 106                	75.53           	162.52          	86.99           
Junc 107                	71.86           	162.54          	90.68           
Junc 108                	76.44           	162.52          	86.08           
Junc 109                	69.79           	162.64          	92.85           
Junc 110                	64.8            	162.53          	97.73           
Junc 111                	63.84           	162.64          	98.80           
Junc 112                	64.41           	162.68          	98.27           
Junc 113                	69.93           	162.67          	92.74           
Junc 114                	66.81           	162.71          	95.90           
Junc 115                	67.2            	162.74          	95.54           
Junc 116                	64.95           	162.72          	97.77           
Junc 117                	69.74           	164.24          	94.50           
Junc 118                	67.02           	164.22          	97.20           
Junc 119                	67.34           	164.20          	96.86           
Junc 120                	65.61           	162.81          	97.20           
Junc 121                	72.36           	164.26          	91.90           
Junc 122                	68.35           	162.17          	93.82           
Junc 123                	68.07           	162.17          	94.10           
Junc 124                	68.04           	162.18          	94.14           
Junc 125                	67.04           	162.16          	95.12           
Junc 126                	68.55           	162.18          	93.63           
Junc 127                	72.68           	162.18          	89.50           
Junc 128                	71.84           	162.16          	90.32           
Junc 129                	66.4            	162.16          	95.76           
Junc 130                	69.44           	162.19          	92.75           
Junc 131                	72.91           	162.18          	89.27           
Junc 132                	73.48           	162.19          	88.71           
Junc 133                	74.61           	162.19          	87.58           
Junc 134                	70.47           	162.31          	91.84           
Junc 135                	71.15           	162.36          	91.21           
Junc 136                	71.64           	162.16          	90.52           
Junc 137                	71.77           	164.02          	92.25           
Junc 138                	75.14           	164.03          	88.89           
Junc 139                	75.19           	164.03          	88.84           
Junc 140                	77.3            	164.03          	86.73           
Junc 141                	71.25           	164.15          	92.90           
Junc 142                	67.56           	164.16          	96.60           
Junc 143                	76.46           	164.13          	87.67           
Junc 144                	68.64           	164.18          	95.54           
Junc 145                	77.02           	164.08          	87.06           
Junc 146                	76.32           	164.17          	87.85           
Junc 147                	72.54           	164.18          	91.64           
Junc 148                	73.73           	164.21          	90.48           
Junc 149                	77.0            	164.04          	87.04           
Junc 150                	76.64           	164.18          	87.54           
Junc 151                	73.69           	164.19          	90.50           
Junc 152                	68.91           	163.93          	95.02           
Junc 153                	69.31           	163.93          	94.62           
Junc 154                	85.11           	164.14          	79.03           
Junc 155                	81.43           	164.13          	82.70           
Junc 156                	90.55           	164.14          	73.59           
Junc 157                	85.19           	164.14          	78.95           
Junc 158                	81.61           	164.16          	82.55           
Junc 159                	83.36           	164.16          	80.80           
Junc 160                	79.56           	164.16          	84.60           
Junc 161                	86.89           	164.16          	77.27           
Junc 162                	79.61           	164.17          	84.56           
Junc 163                	80.28           	164.15          	83.87           
Junc 164                	81.53           	164.20          	82.67           
Junc 165                	81.82           	164.16          	82.34           
Junc 166                	77.93           	164.19          	86.26           
Junc 167                	80.5            	164.15          	83.65           
Junc 168                	76.17           	164.18          	88.01           
Junc 169                	81.41           	164.20          	82.79           
Junc 170                	87.64           	164.22          	76.58           
Junc 171                	83.82           	164.23          	80.41           
Junc 172                	75.39           	164.16          	88.77           
Junc 173                	76.73           	164.19          	87.46           
Junc 174                	75.87           	164.18          	88.31           
Junc 175                	88.89           	164.18          	75.29           
Junc 176                	85.27           	164.15          	78.88           
Junc 177                	87.44           	164.19          	76.75           
Junc 178                	90.66           	164.11          	73.45           
Junc 179                	83.53           	164.15          	80.62           
Junc 180                	86.89           	164.20          	77.31           
Junc 181                	88.56           	164.19          	75.63           
Junc 182                	88.79           	164.19          	75.40           
Junc 183                	87.36           	164.19          	76.83           
Junc 184                	97.53           	164.19          	66.66           
Junc 185                	86.2            	164.20          	78.00           
Junc 186                	88.89           	164.18          	75.29           
Junc 187                	87.74           	164.16          	76.42           
Junc 188                	89.14           	164.17          	75.03           
Junc 189                	89.56           	164.15          	74.59           
Junc 190                	87.83           	164.14          	76.31           
Junc 191                	90.85           	164.14          	73.29           
Junc 192                	89.52           	164.14          	74.62           
Junc 193                	90.52           	164.14          	73.62           
Junc 194                	79.73           	164.14          	84.41           
Junc 195                	81.33           	164.13          	82.80           
Junc 196                	90.09           	164.09          	74.00           
Junc 197                	80.43           	164.18          	83.75           
Junc 198                	92.85           	164.08          	71.23           
Junc 199                	89.08           	164.08          	75.00           
Junc 200                	91.15           	164.08          	72.93           
Junc 201                	87.7            	164.08          	76.38           
Junc 202                	96.69           	164.08          	67.39           
Junc 203                	78.24           	164.08          	85.84           
Junc 204                	87.52           	164.08          	76.56           
Junc 205                	95.17           	164.08          	68.91           
Junc 206                	77.62           	164.08          	86.46           
Junc 207                	87.98           	164.08          	76.10           
Junc 208                	94.38           	164.08          	69.70           
Junc 209                	77.3            	164.08          	86.78           
Junc 210                	88.96           	164.09          	75.13           
Junc 211                	94.12           	164.08          	69.96           
Junc 212                	77.66           	164.08          	86.42           
Junc 213                	93.73           	164.09          	70.36           
Junc 214                	78.42           	164.09          	85.67           
Junc 215                	93.73           	164.09          	70.36           
Junc 216                	79.14           	164.10          	84.96           
Junc 217                	80.43           	164.11          	83.68           
Junc 218                	79.62           	164.14          	84.52           
Junc 219                	78.85           	164.14          	85.29           
Junc 220                	110.47          	163.80          	53.33           
Junc 221                	109.74          	163.80          	54.06           
Junc 222                	108.75          	163.80          	55.05           
