/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Links
                        	Length          	Diameter        	Flow            	Velocity        	Unit Headloss   	Friction Factor 
 Link ID                	m               	mm              	LPS             	m/s             	m/km            	                
Pipe 0                  	851.43          	250.00          	-37.61          	0.77            	2.96            	0.025           
Pipe 1                  	8.45            	150.00          	12.32           	0.70            	4.51            	0.027           
Pipe 2                  	587.54          	200.00          	15.49           	0.49            	1.70            	0.027           
Pipe 3                  	440.64          	125.00          	9.68            	0.79            	7.02            	0.028           
Pipe 4                  	41.38           	125.00          	6.60            	0.54            	3.45            	0.029           
Pipe 5                  	841.45          	250.00          	-47.19          	0.96            	4.51            	0.024           
Pipe 6                  	48.34           	80.00           	1.98            	0.39            	3.26            	0.033           
Pipe 7                  	155.23          	60.00           	1.54            	0.54            	8.32            	0.033           
Pipe 8                  	551.08          	200.00          	12.31           	0.39            	1.11            	0.028           
Pipe 9                  	179.56          	80.00           	3.08            	0.61            	7.39            	0.031           
Pipe 10                 	35.76           	125.00          	6.49            	0.53            	3.35            	0.029           
Pipe 11                 	320.72          	125.00          	-0.65           	0.05            	0.05            	0.041           
Pipe 12                 	32.69           	100.00          	4.07            	0.52            	4.18            	0.031           
Pipe 13                 	334.87          	125.00          	7.48            	0.61            	4.35            	0.029           
Pipe 14                 	10.95           	125.00          	7.37            	0.60            	4.23            	0.029           
Pipe 15                 	99.57           	60.00           	-0.11           	0.04            	0.06            	0.049           
Pipe 16                 	68.24           	60.00           	-0.11           	0.04            	0.06            	0.049           
Pipe 17                 	65.72           	60.00           	-0.22           	0.08            	0.23            	0.044           
Pipe 18                 	56.23           	125.00          	-6.93           	0.56            	3.78            	0.029           
Pipe 19                 	45.13           	125.00          	6.71            	0.55            	3.56            	0.029           
Pipe 20                 	35.34           	60.00           	-0.33           	0.12            	0.48            	0.042           
Pipe 21                 	34.84           	60.00           	-0.11           	0.04            	0.06            	0.049           
