/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Nodes
                        	Elevation       	Demand          	Head            	Pressure        
 Node ID                	m               	LPS             	m               	m               
Junc 0                  	76.0            	0.11            	157.69          	81.69           
Junc 1                  	51.0            	0.11            	154.59          	103.59          
Junc 2                  	105.5           	0.11            	160.21          	54.71           
Junc 3                  	50.0            	0.11            	156.69          	106.69          
Junc 4                  	92.5            	0.11            	156.06          	63.56           
Junc 6                  	77.0            	0.11            	156.08          	79.08           
Junc 7                  	58.5            	0.11            	154.62          	96.12           
Junc 8                  	85.11           	0.11            	154.50          	69.39           
Junc 9                  	90.55           	0.11            	154.03          	63.48           
Junc 10                 	76.44           	0.11            	154.50          	78.06           
Junc 11                 	85.19           	0.11            	154.03          	68.84           
Junc 12                 	75.53           	0.11            	154.52          	78.99           
Junc 13                 	78.85           	0.11            	154.24          	75.39           
Junc 14                 	96.31           	0.11            	153.46          	57.15           
Junc 15                 	89.56           	0.11            	153.47          	63.91           
Junc 16                 	98.27           	0.11            	153.46          	55.19           
Junc 17                 	90.52           	0.11            	153.74          	63.22           
Junc 18                 	87.74           	0.11            	153.20          	65.46           
Junc 19                 	105.83          	0.11            	150.98          	45.15           
Junc 20                 	81.61           	0.11            	156.36          	74.75           
Junc 21                 	83.36           	0.11            	153.20          	69.84           
Junc 22                 	79.56           	0.11            	156.36          	76.80           
Junc 23                 	86.89           	0.11            	153.20          	66.31           
Junc 24                 	74.28           	0.11            	156.17          	81.89           
Junc 25                 	79.61           	0.11            	156.56          	76.95           
Junc 26                 	80.28           	0.11            	156.15          	75.87           
Junc 27                 	81.53           	0.11            	157.04          	75.51           
Junc 28                 	81.82           	0.11            	146.04          	64.22           
Junc 29                 	81.41           	0.11            	156.84          	75.43           
Junc 30                 	87.64           	0.11            	152.55          	64.91           
Junc 31                 	77.93           	0.11            	157.24          	79.31           
Junc 32                 	80.5            	0.11            	146.04          	65.54           
Junc 33                 	83.82           	0.11            	152.55          	68.73           
Junc 34                 	80.43           	0.11            	156.70          	76.27           
Junc 35                 	86.89           	0.11            	152.23          	65.34           
Junc 36                 	76.17           	0.11            	157.35          	81.18           
Junc 37                 	76.73           	0.11            	157.65          	80.92           
Junc 38                 	70.47           	0.11            	157.30          	86.83           
Junc 39                 	71.11           	0.11            	157.28          	86.17           
Junc 40                 	70.78           	0.11            	146.08          	75.30           
Junc 41                 	71.15           	0.11            	157.29          	86.14           
Junc 42                 	66.58           	0.11            	146.07          	79.49           
Junc 43                 	71.04           	0.11            	146.08          	75.04           
Junc 44                 	75.39           	0.11            	146.09          	70.70           
Junc 45                 	70.24           	0.11            	146.10          	75.86           
Junc 46                 	126.06          	0.11            	148.42          	22.36           
Junc 47                 	125.84          	0.11            	148.44          	22.60           
Junc 48                 	123.17          	0.11            	148.41          	25.24           
Junc 49                 	124.3           	0.11            	148.47          	24.17           
Junc 50                 	123.63          	0.11            	148.41          	24.78           
Junc 51                 	123.3           	0.11            	148.52          	25.22           
Junc 52                 	121.53          	0.11            	148.58          	27.05           
Junc 53                 	119.77          	0.11            	148.73          	28.96           
Junc 54                 	117.96          	0.11            	149.00          	31.04           
Junc 55                 	94.12           	0.11            	148.48          	54.36           
Junc 56                 	110.47          	0.11            	150.75          	40.28           
Junc 57                 	93.73           	0.11            	148.39          	54.66           
Junc 58                 	87.98           	0.11            	148.46          	60.48           
Junc 59                 	93.73           	0.11            	148.48          	54.75           
Junc 60                 	94.38           	0.11            	148.48          	54.10           
Junc 61                 	109.74          	0.11            	151.09          	41.35           
Junc 62                 	90.09           	0.11            	147.88          	57.79           
