/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Links
                        	Length          	Diameter        	Flow            	Velocity        	Unit Headloss   	Friction Factor 
 Link ID                	m               	mm              	LPS             	m/s             	m/km            	                
Pipe 0                  	440.64          	125.0           	9.57            	0.78            	5.92            	0.024           
Pipe 1                  	851.43          	75.0            	-3.69           	0.84            	12.21           	0.026           
Pipe 2                  	587.54          	160.0           	-18.20          	0.91            	5.85            	0.022           
Pipe 3                  	62.54           	75.0            	3.15            	0.71            	10.58           	0.031           
Pipe 4                  	8.45            	75.0            	4.72            	1.07            	22.34           	0.029           
Pipe 5                  	29.12           	75.0            	4.34            	0.98            	19.11           	0.029           
Pipe 6                  	160.9           	75.0            	2.58            	0.58            	7.29            	0.032           
Pipe 7                  	41.38           	75.0            	2.62            	0.59            	7.49            	0.031           
Pipe 8                  	25.62           	75.0            	4.27            	0.97            	18.53           	0.029           
Pipe 9                  	719.47          	225.0           	39.76           	1.00            	4.73            	0.021           
Pipe 10                 	841.45          	250.0           	-46.97          	0.96            	3.85            	0.021           
Pipe 11                 	155.23          	75.0            	1.43            	0.32            	2.45            	0.034           
Pipe 12                 	48.34           	75.0            	1.98            	0.45            	4.47            	0.033           
Pipe 13                 	551.08          	180.0           	-21.50          	0.84            	4.49            	0.022           
Pipe 14                 	174.51          	75.0            	0.84            	0.19            	0.91            	0.037           
Pipe 15                 	179.56          	75.0            	0.72            	0.16            	0.68            	0.038           
Pipe 16                 	110.19          	75.0            	1.64            	0.37            	3.14            	0.034           
Pipe 17                 	320.72          	225.0           	33.16           	0.83            	3.38            	0.021           
Pipe 18                 	35.76           	75.0            	1.61            	0.37            	3.06            	0.034           
Pipe 19                 	56.69           	75.0            	2.85            	0.64            	8.76            	0.031           
Pipe 20                 	101.54          	75.0            	2.03            	0.46            	4.68            	0.033           
Pipe 21                 	334.87          	110.0           	7.48            	0.79            	7.00            	0.024           
Pipe 22                 	32.69           	75.0            	2.08            	0.47            	4.92            	0.033           
Pipe 23                 	20.31           	75.0            	1.99            	0.45            	4.49            	0.033           
Pipe 24                 	48.77           	75.0            	2.97            	0.67            	9.48            	0.031           
Pipe 25                 	10.95           	75.0            	4.40            	1.00            	19.61           	0.029           
Pipe 26                 	104.26          	75.0            	0.14            	0.03            	0.04            	0.048           
