/Users/conrad/Documents/EC/Course_deuxiemme_annee/Project_Inno/Projet_P5C006/Monterusciello_solution/Monterusciello_acqueduct
Network Table - Nodes
                        	Elevation       	Head            	Pressure        
 Node ID                	m               	m               	m               
Junc 0                  	75              	150.36          	75.36           
Junc 1                  	54              	147.75          	93.75           
Junc 2                  	108.92          	160.76          	51.84           
Junc 3                  	55              	153.80          	98.80           
Junc 4                  	90              	157.36          	67.36           
Junc 6                  	77              	156.27          	79.27           
Junc 7                  	60.16           	153.93          	93.77           
Junc 8                  	85.11           	149.42          	64.31           
Junc 9                  	90.55           	149.42          	58.87           
Junc 10                 	76.44           	149.43          	72.99           
Junc 11                 	85.19           	149.41          	64.22           
Junc 12                 	75.53           	149.43          	73.90           
Junc 13                 	78.85           	149.43          	70.58           
Junc 14                 	96.31           	149.37          	53.06           
Junc 15                 	89.56           	149.40          	59.84           
Junc 16                 	98.27           	149.35          	51.08           
Junc 17                 	90.52           	149.40          	58.88           
Junc 18                 	87.74           	149.43          	61.69           
Junc 19                 	105.83          	149.31          	43.48           
Junc 20                 	81.61           	149.47          	67.86           
Junc 21                 	83.36           	149.45          	66.09           
Junc 22                 	79.56           	149.51          	69.95           
Junc 23                 	86.89           	149.43          	62.54           
Junc 24                 	74.28           	149.51          	75.23           
Junc 25                 	79.61           	149.61          	70.00           
Junc 26                 	80.28           	149.48          	69.20           
Junc 27                 	81.53           	149.62          	68.09           
Junc 28                 	81.82           	149.50          	67.68           
Junc 29                 	81.41           	149.70          	68.29           
Junc 30                 	87.64           	149.52          	61.88           
Junc 31                 	77.93           	149.72          	71.79           
Junc 32                 	80.5            	149.47          	68.97           
Junc 33                 	83.82           	149.53          	65.71           
Junc 34                 	80.43           	149.69          	69.26           
Junc 35                 	86.89           	149.48          	62.59           
Junc 36                 	76.17           	149.77          	73.60           
Junc 37                 	76.73           	150.17          	73.44           
Junc 38                 	70.47           	149.73          	79.26           
Junc 39                 	71.11           	149.80          	78.69           
Junc 40                 	70.78           	149.59          	78.81           
Junc 41                 	71.15           	149.76          	78.61           
Junc 42                 	66.58           	146.40          	79.82           
Junc 43                 	71.04           	149.50          	78.46           
Junc 44                 	75.39           	149.47          	74.08           
Junc 45                 	70.24           	149.48          	79.24           
Junc 46                 	126.06          	141.83          	15.77           
Junc 47                 	125.84          	142.42          	16.58           
Junc 48                 	123.17          	138.43          	15.26           
Junc 49                 	124.3           	143.68          	19.38           
Junc 51                 	123.3           	145.75          	22.45           
Junc 52                 	121.53          	149.01          	27.48           
Junc 53                 	119.77          	149.27          	29.50           
Junc 54                 	117.96          	149.28          	31.32           
Junc 55                 	94.12           	149.31          	55.19           
Junc 56                 	110.47          	149.30          	38.83           
Junc 57                 	93.73           	149.32          	55.59           
Junc 58                 	87.98           	149.31          	61.33           
Junc 59                 	93.73           	149.31          	55.58           
Junc 60                 	94.38           	147.42          	53.04           
Junc 61                 	109.74          	149.30          	39.56           
Junc 62                 	90.09           	149.34          	59.25           
Junc 63                 	108.75          	149.30          	40.55           
Junc 64                 	97.53           	149.40          	51.87           
Junc 65                 	113.34          	145.96          	32.62           
Junc 66                 	108.02          	149.30          	41.28           
Junc 67                 	88.56           	149.45          	60.89           
Junc 68                 	105.19          	142.81          	37.62           
Junc 69                 	104.53          	141.32          	36.79           
Junc 70                 	88.89           	149.46          	60.57           
Junc 71                 	85.27           	149.43          	64.16           
Junc 72                 	87.44           	149.47          	62.03           
Junc 73                 	90.66           	149.36          	58.70           
Junc 74                 	83.53           	149.45          	65.92           
Junc 75                 	88.79           	149.45          	60.66           
Junc 76                 	87.36           	149.46          	62.10           
Junc 77                 	86.2            	149.47          	63.27           
